segmented original sentence,original sentence,translated sentence,syntheticity,bleu,chrf_score,targets,comet_score
"Теперь-, когда цена на золото пере-сечь-ла маг-ия-ический барьер в 1 0ё0-0 долларов, не мочь-ет ли она такжа-е вы-растить-и в десять раз-?","Теперь, когда цена на золото пересекла магический барьер в 1 000 долларов, не может ли она также вырасти в десять раз?","Now that the price of gold has crossed the magic barrier of $1,000, can it also grow tenfold?",1.5238095238095237,0.25890790939055336,0.5744907962173084,Now that gold has crossed the magic 1000 barrier why can’t it increase tenfold too,0.4198005497455597
"След-овать-ует при-знать, честь-ый-о еще боль-еть-ее знак-ить-тельный-ое повысить-ение цена-ы на золото не так нереальный-о, как мочь-ет показаться.","Следует признать, что еще более значительное повышение цены на золото не так нереально, как может показаться.",It must be recognized that an even greater increase in the price of gold is not as unrealistic as it may seem.,1.875,0.05494442118187713,0.270926335167467,Admittedly getting to a much higher price for gold is not quite the leap of imagination that it seems,0.41468191146850586
При по-правый-ить-ка-е на инфляция-ию сегодняшний-ей цена-е весьма далёкий-о до рекорд-ный-ого уровень-я январь-я 1980 г.,При поправке на инфляцию сегодняшней цене весьма далеко до рекордного уровня января 1980 г.,"With the inflation adjustment, today's price is very far from the record level of January 1980.",1.8571428571428572,0.08326915667169545,0.4632823760653609,After adjusting for inflation today’s price is nowhere near the alltime high of January 1980,0.35037025809288025
"Тогда золото достигнуть-ло цена-ы 8ё5-0 долларов,й-и честь-ый-о знак-ить-тельный-о больший-е сегодняшний-их 2 0ё0-0 долларов.","Тогда золото достигло цены 850 долларов, что значительно больше сегодняшних 2 000 долларов.","The gold then reached the price of $850, which is much more than $2,000 today.",1.9230769230769231,0.018693000799960027,0.24851636194799684,Back then gold hit 850 or well over 2000 in today’s dollars,0.5745242834091187
"Но январь 1980 г. быть-л, как известие-ный-о, «нерв-ный-ым скак-ком» во время период-а повысить-у-енный-ой геополитика-ический-ой не-стабильности.","Но январь 1980 г. был, как известно, «нервным скачком» во время периода повышенной геополитической нестабильности.",But January 1980 was known to be a nervous leap during a period of heightened geopolitical instability.,1.8666666666666667,0.5071960939456881,0.7493957306432212,But January 1980 was arguably a “freak peak” during a period of heightened geopolitical instability,0.3540971577167511
"При 1 3ё0-0 долларах, сегодняшний-яя цена, вероятный-о, боль-еть-ее чем в два раз-а выше очень долговременный-ой среда-ний-ей цена-ы на золото с по-правый-ить-ка-ой на инфляцию.","При 1 300 долларах, сегодняшняя цена, вероятно, более чем в два раза выше очень долговременной средней цены на золото с поправкой на инфляцию.","At $1,300, today's price is probably more than double the very long-term average price of gold, adjusted for inflation.",1.608695652173913,0.32263864160302524,0.7764377789526261,At 1300 today’s price is probably more than double very longterm inflationadjusted average gold prices,0.5201289057731628
"Что же мочь-ет оправдать о-череда-ной знак-ить-тельный рост цен на золото, начинать-ают-я с сегодняшний-его дня?","Что же может оправдать очередной значительный рост цен на золото, начиная с сегодняшнего дня?","What, then, can justify another significant increase in gold prices, starting today?",1.5714285714285714,0.2521193618434983,0.5624607341787922,So what could justify another huge increase in gold prices from here,0.5164109468460083
"Один из ответ-ов, конец-ный-о, ‑ это пол-ный обвал американец-ский-ого доллара.","Один из ответов, конечно, ‑ это полный обвал американского доллара.","One of the answers, of course, is the full collapse of the US dollar.",1.6,0.3661926362999429,0.6812169597232692,One answer of course is a complete collapse of the US dollar,0.5128276348114014
"При стремя-ить-тельный-о расти-тут-щий-ем дефицит-е и непродуманный-ой налог-овый-бюджет-ный-ой политик-е поневол-е за-дать-ашь-ся в-опросом, не стать-ет ли сегодняшний-яя популист-ский-ая администрировать-ация опрометчивый-о печатать новый-ые деньги.","При стремительно растущем дефиците и непродуманной налогово-бюджетной политике поневоле задашься вопросом, не станет ли сегодняшняя популистская администрация опрометчиво печатать новые деньги.","With a rapidly growing deficit and ill-considered fiscal policy, you might wonder if today's populist administration would be reckless in printing new money.",2.1904761904761907,0.03114637779265809,0.5182229726644803,With soaring deficits and a rudderless fiscal policy one does wonder whether a populist administration might recklessly turn to the printing press,0.30828699469566345
"И есло-и вы деять-ство-ие-тельный-о беспокоить-ите-ся по этому по-вод-у,ь-и золото и правда мочь-ет стать самы-ой надежный-ой защитой.","И если вы действительно беспокоитесь по этому поводу, золото и правда может стать самой надежной защитой.","And if you're really worried about it, gold can really be the most reliable protection.",1.8125,0.2547001422654908,0.6133481853007341,And if you are really worried about that gold might indeed be the most reliable hedge,0.3894077241420746
"Безусловие-ный-о, кое-кт-о мочь-ет воз-раз-ить, честь-ый-о облигация-ий-и, индекс-ировать-нный-ые с учет-ом инфляция-ии, явь-ить-ять-яют-ся лучший-ей и боль-еть-ее прямой-ой защита-ой от инфляция-ии, чем золото.","Безусловно, кое-кто может возразить, что облигации, индексированные с учетом инфляции, являются лучшей и более прямой защитой от инфляции, чем золото.","Of course, some may argue that inflation-indexed bonds are better and more direct protection against inflation than gold.",2.3,0.11607941102687158,0.3714863836462466,Sure some might argue that inflationindexed bonds offer a better and more direct inflation hedge than gold But gold bugs are right to worry about whether the government will honor its commitments under more extreme circumstances,0.5019212961196899
"Но сторона-ний-ник-и со-хранить-ение-я деньги-ный-ых функция-ий золото-а правы, когда беспокоить-ят-ся о том, стать-ет ли правый-ить-тель-ство с-держать-ивать своить-и обещать-ание-я в боль-еть-ее с-ложа-ить-ный-ых обстоятельствах.","Но сторонники сохранения денежных функций золота правы, когда беспокоятся о том, станет ли правительство сдерживать свои обещания в более сложных обстоятельствах.",But supporters of maintaining the monetary function of gold are right when they worry about whether the government will keep its promises under more difficult circumstances.,2.2857142857142856,0.005553205518005202,0.21171427760782993,In fact as Carmen Reinhart and I discuss in our recent book on the history of financial crises This Time is Different cashstrapped governments will often forcibly convert indexed debt to nonindexed debt precisely so that its value might be inflated away,0.444881409406662
"Как писать-у я и Кармен Райнхарт в наший-ей не-давний-о выйти-л-ший-ей книга-е «На этот раз все по-другому» (This Time is Different-) по история-ии финансы-овый-ых кризис-ов, правый-ить-тель-ство-а, который-ым не хват-ить-ать-ает на-лик-ный-ость-и, частый-о при-нудить-тельный-о пере-водить-ят индекс-ировать-нный долг в неиндекс-ировать-нный с тем расчетом, что-бы его стоимость быть-л-а стерта инфляцией. Дажа-е США упразднить-л-и статья-и об индекс-ировать-ация-ии по облигация-онный-ым до-говор-ам во время «Великий-ой депрессия-ии» 1930-ный--х гг.","Как пишу я и Кармен Райнхарт в нашей недавно вышедшей книге «На этот раз все по-другому» (This Time is Different) по истории финансовых кризисов, правительства, которым не хватает наличности, часто принудительно переводят индексированный долг в неиндексированный с тем расчетом, чтобы его стоимость была стерта инфляцией. Даже США упразднили статьи об индексации по облигационным договорам во время «Великой депрессии» 1930-х гг.","As Carmen Reinhart and I write in our recent book ""This Time is Different"" on the history of financial crises, governments that lack cash are often forced to convert indexed debt into unindexed debt so that its value is wiped out by inflation. Even the US eliminated bond indexation articles during the ""Great Depression"" of the 1930s.",1.9166666666666667,0.09560408787521255,0.5252824513701716,Even the United States abrogated indexation clauses in bond contracts during the Great Depression of the 1930’s,0.3619254231452942
Так честь-ый-о это мочь-ет про-изойти где у-годно.,Так что это может произойти где угодно.,So it could happen anywhere.,1.7142857142857142,0.16068568378893033,0.7380727878453969,So it can happen anywhere,0.48606154322624207
"Тем не менеять-е, тот факт, честь-ый-о очень высокий-ая инфляция воз-мочь-ный-ать-, не увеличить-вать-ает ее вероятный-ость-и, поэтом-у след-овать-ует с осторожный-ость-ью у-твердь-ить-ать, честь-ый-о рост цен на золото вы-зывать-ает-ся о-жидать-ание-ем рост-а инфляции.","Тем не менее, тот факт, что очень высокая инфляция возможна, не увеличивает ее вероятности, поэтому следует с осторожностью утверждать, что рост цен на золото вызывается ожиданием роста инфляции.","Nevertheless, the fact that very high inflation is possible does not increase its likelihood, and it should be said with caution that the rise in gold prices is caused by the expectation of inflation.",2.0357142857142856,0.3202266307813626,0.5787915228929723,Even so the fact that very high inflation is possible does not make it probable so one should be cautious in arguing that higher gold prices are being driven by inflation expectations,0.3327225148677826
"Наоборот, многий-ие у-твердь-ить-ать-ают, честь-ый-о длить-тельный рост цен на золото часть-ица-ный-о вы-зван раз-работа-ать-ка-ой новый-ых финансы-овый-ых инструмент-ов, облегчить-ать-ают-щий-их торг-овать-ю и спекулировать-яция-ию золотом.","Наоборот, многие утверждают, что длительный рост цен на золото частично вызван разработкой новых финансовых инструментов, облегчающих торговлю и спекуляцию золотом.","On the contrary, many argue that the long-term increase in gold prices is partly due to the development of new financial instruments to facilitate trade and speculation in gold.",2.4,0.20211879596809243,0.5324261689182372,Some have argued instead that gold’s long upward march has been partly driven by the development of new financial instruments that make it easier to trade and speculate in gold,0.586854875087738
"В дать-нный-ом у-твердь-ить-ать-ение-и, вероятный-о, есть крупа-ица истый-ины, а такжа-е долть-ят-я иронии.","В данном утверждении, вероятно, есть крупица истины, а также доля иронии.","There is probably a fraction of truth in this claim, as well as a fraction of irony.",2.1818181818181817,0.07591175404430564,0.36349741334952373,There is probably some slight truth – and also a certain degree of irony – to this argument,0.4656544625759125
"В конец-е конец-ов, средневековый-ые алхимия-ик-и занимать-л-и-ся поиск-ом с-пособие-ов превратить-ать-ся-ение-я простой-ых металл-ов в золото-, честь-ый-о сегод-ня с-читать-ает-ся полный-ым абсурдом.","В конце концов, средневековые алхимики занимались поиском способов превращения простых металлов в золото, что сегодня считается полным абсурдом.","After all, medieval alchemists have been searching for ways to turn simple metals into gold, which is now considered absurd.",2.388888888888889,0.2205432851826186,0.6307000024804567,After all medieval alchemists engaged in what we now consider an absurd search for ways to transform base metals into gold,0.44456109404563904
"В таком случаять-е, не суть-ет ли парадокс-альный-ым, есло-и финансы-овый-ая алхимия с-мочь-ет повыс-ить стоимость с-лить-ок-а золото-а в раз-ы?","В таком случае, не будет ли парадоксальным, если финансовая алхимия сможет повысить стоимость слитка золота в разы?","In that case, would it not be paradoxical if financial alchemy could increase the value of a gold ingot?",1.8823529411764706,0.1712473044894657,0.5154404855638606,Wouldn’t it be paradoxical then if financial alchemy could make an ingot of gold worth dramatically more,0.2232108861207962
"С мыть-ой-ей ток-ить-ка-и зрение-ять-ят-, наиболей-е сила-ный-ым аргумент-ом, оправдать-ывать-ают-щий-им сегодняшний-юю высокий-ую стоимость золото-а, явь-ить-ять-яет-ся знак-ить-тельный-ое усилие-ить-ение Азий-и, Латинский-ой Америка-и и Ближний-его Восток-а в мир-овой экономике.","С моей точки зрения, наиболее сильным аргументом, оправдывающим сегодняшнюю высокую стоимость золота, является значительное усиление Азии, Латинской Америки и Ближнего Востока в мировой экономике.","In my view, the strongest argument justifying today &apos; s high price of gold is the significant rise of Asia, Latin America and the Middle East in the world economy.",2.4166666666666665,0.4768955997633769,0.6274790151416986,In my view the most powerful argument to justify today’s high price of gold is the dramatic emergence of Asia Latin America and the Middle East into the global economy,0.41292881965637207
"По мера-е повысить-ение-я по-купать-тель-ский-ой с-пособие-ный-ость-и легион-ов новый-ых по-треба-ить-тель-ей, спрос неизбежный-о растеть-, стимул-ировать-уют-я рост цен дефицит-ный-ых товаров.","По мере повышения покупательской способности легионов новых потребителей, спрос неизбежно растет, стимулируя рост цен дефицитных товаров.","As the purchasing power of legions of new consumers increases, demand inevitably increases, stimulating higher prices for scarce goods.",2.5,0.18951629567590741,0.6006826812919299,As legions of new consumers gain purchasing power demand inevitably rises driving up the price of scarce commodities,0.48681870102882385
"В то же времять-я, централь-ный-ым банк-ам раз-вить-вать-ают-щий-их-ся стран необходимый-о на-копить-ивать золото-ой резерв, размер которогий-о у них по-прежней-ому гораздый-о меньший-е, чем у централь-ный-ых банк-ов богатый-ых стран.","В то же время, центральным банкам развивающихся стран необходимо накапливать золотой резерв, размер которого у них по-прежнему гораздо меньше, чем у центральных банков богатых стран.","At the same time, the central banks of developing countries need to accumulate a gold reserve, which remains much smaller than the central banks of rich countries.",1.92,0.1625416791576053,0.5540773631220294,At the same time emergingmarket central banks need to accumulate gold reserves which they still hold in far lower proportion than do richcountry central banks,0.4811154901981354
"Посколький-у евро вы-глядеть-ит все менея-е аппетит-ный-ым среда-ство-ом диверсификация-ии для противовес-а доллару, при-влечь-ать-тельный-ость золото-а есть-ество-енный-ым образ-ом повысилась.","Поскольку евро выглядит все менее аппетитным средством диверсификации для противовеса доллару, привлекательность золота естественным образом повысилась.","As the euro looks less and less delicious as a means of diversification to counterbalance the dollar, the attractiveness of gold has naturally increased.",2.1875,0.03538911764333138,0.4738982609136369,With the euro looking less appetizing as a diversification play away from the dollar gold’s appeal has naturally grown,0.27832791209220886
"Итак, деять-ство-ие-тельный-о, сущий-ество-овать-уют «железный-ые» истый-ины, которые, по-видимому, под-держать-ивать-ают сегодняшний-юю высокий-ую цена-у на золото, хотеть-ят-я куда боль-еть-ё-е спор-ный-о, быть-ут ли оня-и и далей-е под-держать-ивать высокий-ие цена-ы в быть-ущий-ем, и есло-и да, то в кака-ой степени.","Итак, действительно, существуют «железные» истины, которые, по-видимому, поддерживают сегодняшнюю высокую цену на золото, хотя куда более спорно, будут ли они и далее поддерживать высокие цены в будущем, и если да, то в какой степени.","So, indeed, there are ""iron"" truths that seem to support today's high price of gold, although it is much more controversial whether they will continue to maintain high prices in the future and, if so, to what extent.",2.0,0.2101621327159317,0.547977964277042,So yes there are solid fundamentals that arguably support today’s higher gold price although it is far more debatable whether and to what extent they will continue to support higher prices in the future,0.3714333474636078
"Вообщий-е, друга-ой важный-ейший фундамент-альный фактор, под-держать-ивать-ают-щий высокий-ие цена-ы на золото, мочь-ет о-казать-ся гораздый-о менея-е знак-ить-имый-ым, чем глобализация.","Вообще, другой важнейший фундаментальный фактор, поддерживающий высокие цены на золото, может оказаться гораздо менее значимым, чем глобализация.","In fact, another crucial fundamental factor that supports high gold prices may be far less significant than globalization.",2.0588235294117645,0.06197865120541411,0.37900641361071846,Indeed another critical fundamental factor that has been sustaining high gold prices might prove far more ephemeral than globalization Gold prices are extremely sensitive to global interestrate movements,0.6163323521614075
Цен-ы на золото чрезвычайный-о чувство-овать-тельный-ы к мир-овой-ым двинуть-ать-ение-ям процент-ный-ых ставок.,Цены на золото чрезвычайно чувствительны к мировым движениям процентных ставок.,Gold prices are extremely sensitive to world interest-rate movements.,2.2,0.017182633466700372,0.2650356630536798,After all gold pays no interest and even costs something to store,0.6102131009101868
"В конец-е конец-ов, за золото не вы-плата-ить-ивать-ают-ся проценты,̆-ить а за его хранить-ение даж-е при-ход-ить-ит-ся трата-ить не-который-е средства.","В конце концов, за золото не выплачиваются проценты, а за его хранение даже приходится тратить некоторые средства.","After all, interest is not paid for the gold, and there is even a need to spend some money on its storage.",2.0,0.0107197986970105,0.21633331178704315,Today with interest rates near or at record lows in many countries it is relatively cheap to speculate in gold instead of investing in bonds,0.15547293424606323
"Сегода-ный-ить-ят-, когда процент-ный-ые ставить-ка-и во многий-их страна-ах достигнуть-ли рекорд-ный-о низ-кий-ого уровень-я или при-близь-ить-ать-ают-ся к нему,ь-и спекулировать-яция на золото-е явь-ить-ять-яет-ся довольный-о не-дорогой, в отличие-е от инвестировать-ание-я в облигации. Но есло-и реалия-ный-ые процент-ный-ые ставить-ка-и знак-ить-тельный-о повысятся, честь-ый-о однажды, все-таки, про-изойдет, цена-ы на золото резкий-о упадут.","Сегодня, когда процентные ставки во многих странах достигли рекордно низкого уровня или приближаются к нему, спекуляция на золоте является довольно недорогой, в отличие от инвестирования в облигации. Но если реальные процентные ставки значительно повысятся, что однажды, все-таки, произойдет, цены на золото резко упадут.","Now that interest rates in many countries have reached or are approaching record lows, speculation on gold is quite inexpensive, as opposed to investment in bonds, but if real interest rates are significantly increased, that will happen someday, the price of gold will fall sharply.",2.13953488372093,0.060529150006732486,0.4825123115301306,But if real interest rates rise significantly as well they might someday gold prices could plummet,0.4106535315513611
"Больша-инство эконом-ия-ический-их исследовать-ание-й говорить-ят о том, честь-ый-о прогноз-ировать цена-ы на золото в краткий-ой или среда-ний-ей перспектива-е очень труд-ный-о: вероятный-ость при-быть-л-и и у-быть-ок-ов пример-ный-о одинакова.","Большинство экономических исследований говорят о том, что прогнозировать цены на золото в краткой или средней перспективе очень трудно: вероятность прибыли и убытков примерно одинакова.",Most economic studies suggest that it is very difficult to predict gold prices in the short or medium term: the probability of profit and loss is roughly the same.,2.0833333333333335,0.1450029540270094,0.5386243277576137,Most economic research suggests that gold prices are very difficult to predict over the short to medium term with the odds of gains and losses being roughly in balance,0.4883640706539154
Поэтом-у дело-ать вывод-ы на о-сновать-ание-и кратковременный-ых тенденция-ий опасно.,Поэтому делать выводы на основании кратковременных тенденций опасно.,It is therefore dangerous to draw conclusions based on short-term trends.,2.0,0.40352786374639904,0.6743268320235569,It is therefore dangerous to extrapolate from shortterm trends,0.5357878804206848
"Да, золото сила-ный-о дорожать-ло, но то же само-е еще пару лет назад быть-л-о вера-ный-о и в от-носить-ение-и цен на жильё-е во всем мире.","Да, золото сильно дорожало, но то же самое еще пару лет назад было верно и в отношении цен на жилье во всем мире.","Yes, gold was precious, but the same was true a couple of years ago with regard to housing prices around the world.",1.5217391304347827,0.21279882820441612,0.5138005576948026,Yes gold has had a great run but so too did worldwide housing prices until a couple of years ago,0.4976605772972107
"Лица-ам с крупа-ный-ым чистый-ым капиталом, не-за-вис-нуть-еть-имый-ым с-беречь-ать-тельный-ым фонд-ам и централь-ный-ым банк-ам суть-ет раз-ум-ный-о держать не-большой-ую часть своегий-о портфель-я в золото-е в качество-е резерв-а на случить-ать-й чрезвычайный-ых событий.","Лицам с крупным чистым капиталом, независимым сберегательным фондам и центральным банкам будет разумно держать небольшую часть своего портфеля в золоте в качестве резерва на случай чрезвычайных событий.","It would be prudent for individuals with large net capital, independent savings funds and central banks to keep a small portion of their portfolio in gold as a contingency reserve.",2.185185185185185,0.11781409318573131,0.3563461194896935,If you are a highnetworth investor a sovereign wealth fund or a central bank it makes perfect sense to hold a modest proportion of your portfolio in gold as a hedge against extreme events,0.44279250502586365
"Но, не-смотр-еть-ят-я на рост при-влечь-ать-тельный-ость-и золото-а в результат-е необычайный-ого повысить-ение-я его стоимости, оно оставать-ает-ся очень рискованный-ой ставить-ка-ой для больше-инство-а из нас.","Но, несмотря на рост привлекательности золота в результате необычайного повышения его стоимости, оно остается очень рискованной ставкой для большинства из нас.","But, despite the increasing attractiveness of gold as a result of the extraordinary increase in its value, it remains a very risky bet for most of us.",2.0,0.39708667868269476,0.5862371310653699,But despite gold’s heightened allure in the wake of an extraordinary runup in its price it remains a very risky bet for most of us,0.549058735370636
"Коня-ка-ный-о, подобие-ный-ые сообразить-ение-я едва ли по-влиять-яют на цены.","Конечно, подобные соображения едва ли повлияют на цены.","Of course, such considerations are unlikely to affect prices.",2.125,0.2824099048856541,0.5378763297172539,Of course such considerations might have little influence on prices,0.4601183831691742
"То, честь-ый-о быть-л-о вера-ный-о в от-носить-ение-и алхимия-ик-ов давний-их времен, вера-ный-о и сегодний-я: золото и здравый смысл зачастый-ую не-лёгкий-о лад-ить-ят друг с другом.","То, что было верно в отношении алхимиков давних времен, верно и сегодня: золото и здравый смысл зачастую нелегко ладят друг с другом.",What was true about alchemists of old is true today: gold and common sense are often hard to get along with each other.,1.9090909090909092,0.18556675930109115,0.5155812485850434,What was true for the alchemists of yore remains true today gold and reason are often difficult to reconcile,0.22182373702526093
Станет ли Ира-ак второй-ым Афганистаном?,Станет ли Ирак вторым Афганистаном?,Will Iraq be Afghanistan's second?,1.4,0.05372849659117709,0.4740891048818094,Is Iraq the Next Afghanistan,0.3409225046634674
В начал-е война-ы США с Ирак-ом пред-с-казать-ывать-л-и два вероятный-ых её исхода.,В начале войны США с Ираком предсказывали два вероятных её исхода.,"At the beginning of the US war with Iraq, two likely outcomes were predicted.",1.8181818181818181,0.043886443803842136,0.3450052027681241,At the onset of the USled war in Iraq two competing views shaped predictions about the outcome,0.45972102880477905
Перва-ый ̈̈-и-к-и-к-к-ик-и-ь свергнуть-ать-ение режим-а Саддама Хусей-ный-а о-знамя-овать-ует начать-л-о в Ира-ак-е демократ-ия-ический-ой эра-ы и стать-ет образ-ец-ом и катализ-ировать-атор-ом демократ-ия-ический-их из-мена-ить-ение-й в регионе.,Первый - свержение режима Саддама Хусейна ознаменует начало в Ираке демократической эры и станет образцом и катализатором демократических изменений в регионе.,"First, the overthrow of Saddam Hussein's regime will mark the beginning of a democratic era in Iraq and will be a model and catalyst for democratic change in the region.",2.8095238095238093,0.35433453700545325,0.6248289630238384,The first contended that overthrowing Saddam Hussein's regime would usher in a democratic era in Iraq that would serve as a model and catalyst for democratic change regionally,0.5976566672325134
"Осмеять-нный-ая критик-ами как ""теория домино"", дать-нный-ая ток-ить-ка зреть-ение-я с-ровный-ять-ивать-л-а вторжение в Ира-ак с деять-ство-ие-ями США в после-война-ный-ой Японии.","Осмеянная критиками как ""теория домино"", данная точка зрения сравнивала вторжение в Ирак с действиями США в послевоенной Японии.","Criticized as ""domino theory"", this view compared the invasion of Iraq to US actions in post-war Japan.",2.1666666666666665,0.13066754124624547,0.3318279500879823,Derided by detractors as a new domino theory this view presented intervention in Iraq as similar to America's role in postWWII Japan,0.3853771686553955
"В ответ на оптим-изм ""япон-ия-ец-ский-ого сценарий-ия"" пессимист-ы говорил-и, честь-ый-о боль-еть-ее вероятен ""сценария-ий Сомали"".","В ответ на оптимизм ""японского сценария"" пессимисты говорили, что более вероятен ""сценарий Сомали"".","In response to the optimism of the ""Japan scenario"", the pessimists said that the ""Somalia scenario"" was more likely.",2.0,0.2915369229944523,0.7201186637177193,Against the optimism of that Japan scenario pessimists argued that a Somalia scenario was more likely,0.3286944329738617
"Они знать-л-и о племя-ной, раз-бить-ый-ой на не-сколький-о религиозный-ых течь-ение-й и этнический-их групп природа-е Ирака, который, в отсутствие-и диктат-уры, мог бы с-катить-ся к ""раз-вал-ить-уть-"" с неуёмный-ым вождизмый-ом, этнический-ой и религиозный-ой вражда-ой и под-держать-ка-ой терроризма.","Они знали о племенной, разбитой на несколько религиозных течений и этнических групп природе Ирака, который, в отсутствии диктатуры, мог бы скатиться к ""развалу"" с неуёмным вождизмом, этнической и религиозной враждой и поддержкой терроризма.","They were aware of the tribal, multi-religious and multi-ethnic nature of Iraq, which, in the absence of a dictatorship, could crawl into a rift with unbroken driving, ethnic and religious hostility and support for terrorism.",1.878787878787879,0.29997278618800216,0.48292850585548514,They staked their claim on the tribal sectarian and multiethnic nature of Iraq which in the absence of dictatorship would supposedly incite Iraq's collapse into a failed state with rampant warlordism ethnic and religious feuds and harboring of terrorist organizations,-0.010511156171560287
